crossentropy,kl,score,klw,tfr,lr
85639.99510717392,7971.625791251659,0.03749537260469638,0.0,1.0,0.001
73256.17119884491,19490.467909276485,0.041330805222485945,0.001,1.0,0.001
64031.137930870056,64462.988265156746,0.04013643051871285,0.002,1.0,0.001
57208.75872349739,100890.31575495005,0.07489068627039647,0.003,1.0,0.001
51704.95480442047,110762.11819303036,0.0803613953435644,0.004,1.0,0.001
46036.173941612244,132567.55458045006,0.07744459244670565,0.005,1.0,0.001
40143.12081861496,162030.84276247025,0.06489777856992783,0.006,1.0,0.001
34351.92379403114,189889.30141592026,0.08691063844450393,0.007,1.0,0.001
28197.229580402374,216385.06224250793,0.09645396706735652,0.008,1.0,0.001
22508.69228053093,237961.52949810028,0.1412868059748038,0.009000000000000001,1.0,0.001
18584.756702423096,249381.3169746399,0.15556672773236419,0.01,0.99,0.001
15130.735800266266,258906.4435749054,0.22636264199205794,0.011,0.99,0.001
12362.508970737457,263018.39504241943,0.2391285508586154,0.012,0.99,0.001
10043.358852386475,261457.071062088,0.31503691791060096,0.013000000000000001,0.99,0.001
8632.814930200577,256892.9461669922,0.3438224537522674,0.014,0.99,0.001
7306.84595823288,250132.44588661194,0.3611845938575698,0.015,0.99,0.001
6401.834463357925,245409.43917655945,0.36601705272141627,0.016,0.99,0.001
5658.113544225693,235872.58330726624,0.42940526328375134,0.017,0.99,0.001
4859.553147315979,228092.5313205719,0.4223264833986517,0.018000000000000002,0.99,0.001
4566.352237939835,222547.33131980896,0.4319972306011474,0.019,0.99,0.001
4029.9739463329315,212542.02114486694,0.4928366817347827,0.02,0.98,0.001
3533.874032974243,203783.7919406891,0.5327696694256369,0.021,0.98,0.001
3552.192193508148,197634.17691230774,0.5000508762419382,0.022,0.98,0.001
3697.8777136802673,193112.71307754517,0.47783086615874387,0.023,0.98,0.001
3339.2071118354797,186591.03136444092,0.5385769794009436,0.024,0.98,0.001
3012.5343821048737,180852.27754211426,0.5755255198296255,0.025,0.98,0.001
3041.4620184898376,176495.99491882324,0.5755968741177943,0.026000000000000002,0.98,0.001
3018.655346393585,171878.30875778198,0.5642926238508678,0.027,0.98,0.001
2688.2937710285187,165397.11660575867,0.5488362976219954,0.028,0.98,0.001
2834.8576276302338,162651.61574935913,0.5685956142008111,0.029,0.98,0.001
2810.863034725189,158761.34864616394,0.599745123017912,0.03,0.97,0.001
2785.040336370468,155244.36831855774,0.5578044509255742,0.031,0.97,0.001
2743.378894805908,151195.53698158264,0.6264581263919778,0.032,0.97,0.001
2431.640741109848,148248.23960494995,0.6183011249830092,0.033,0.97,0.001
2590.599673271179,142998.4986076355,0.5750793251077146,0.034,0.97,0.001
2336.1470494270325,141136.24941825867,0.6469143285154303,0.035,0.97,0.001
2336.2934036254883,138067.47929000854,0.6676771215971822,0.036000000000000004,0.97,0.001
2462.4362874031067,136056.6185092926,0.6463290528993534,0.037,0.97,0.001
2524.649173259735,134822.0720386505,0.6422627461020294,0.038,0.97,0.001
2289.1029813289642,131867.3304080963,0.6430699872102801,0.039,0.97,0.001
